username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
PolsekPenebel,Polsek penebel,,7,9,446,2021-11-27 00:38:21,2022-03-26 00:16:40,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/Gb9HsJArrR","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PolsekPenebel,Polsek penebel,,7,9,446,2021-11-27 00:38:21,2022-03-26 00:16:30,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/HwEmLIvhE4","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
humaspolsektbn,,,2,3,1348,2021-01-24 02:25:18,2022-03-26 00:15:01,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/yIbz39byHF","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PSelemadeg,,,5,18,1287,2021-02-23 05:33:04,2022-03-26 00:12:44,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/q1S7skqWic","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
buletinfm,Isu Semasa dan Info Terkini. Strim Buletin FM: ➡️https://t.co/PYPQonFh7W ➡️https://t.co/l7fycCj6w4,"Petaling Jaya, Selangor",1600,17793,38712,2015-11-16 03:12:37,2022-03-26 00:12:37,0,"Berikut merupakan golongan kanak-kanak yang tidak boleh menerima vaksin Coronovac (Sinovac).

#BuletinFM #covid19 #vaksin 

Sumber: @JPenerangan https://t.co/2UwHLKhEZ0","[{'text': 'BuletinFM', 'indices': [94, 104]}, {'text': 'covid19', 'indices': [105, 113]}, {'text': 'vaksin', 'indices': [114, 121]}]"
polsekmarga,ganteng,,127,27,2342,2019-12-02 15:10:16,2022-03-26 00:10:59,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/10xqKmoZ0G","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
HumasBaturiti,,"Baturiti, Indonesia",4,9,355,2022-02-09 07:31:02,2022-03-26 00:10:46,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/ZcPEEdhHjZ","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
PSelemadeg,,,5,18,1287,2021-02-23 05:33:04,2022-03-26 00:10:43,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/xGtYV3r9kC","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
HumasBaturiti,,"Baturiti, Indonesia",4,9,355,2022-02-09 07:31:02,2022-03-26 00:07:00,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/Yb31zYktYh","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
polsekmarga,ganteng,,127,27,2342,2019-12-02 15:10:16,2022-03-26 00:03:15,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/WbLT64T3kA","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-26 00:01:56,2,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/Iwdf5Py1HM",[]
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-26 00:01:32,2,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/jfz2iE2I2a","[{'text': 'ayovaksìncovid19', 'indices': [83, 100]}, {'text': 'ayokitavaksin', 'indices': [101, 115]}, {'text': 'vaksìnasicovid19', 'indices': [116, 133]}]"
HKerambitan,Humas Polsek Kerambitan,,12,33,2446,2019-10-24 15:09:04,2022-03-26 00:01:08,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/gIkOVErKIy","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
HKerambitan,Humas Polsek Kerambitan,,12,33,2446,2019-10-24 15:09:04,2022-03-25 23:58:58,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/6u3hYqIFzv","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
SelbarHumas,humas selbar,,50,35,872,2020-12-25 05:41:43,2022-03-25 23:49:48,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/QUAi1w6YDs","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
SelbarHumas,humas selbar,,50,35,872,2020-12-25 05:41:43,2022-03-25 23:46:35,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/J95oElpAof","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-25 23:40:41,1,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/Gi0kEWPCsA",[]
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-25 23:39:58,1,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/fzamJsz47h","[{'text': 'ayovaksìncovid19', 'indices': [81, 98]}, {'text': 'ayokitavaksin', 'indices': [99, 113]}, {'text': 'vaksìnasicovid19', 'indices': [114, 131]}]"
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-25 23:38:50,1,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/Gi0kEWPCsA","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
TabananHumas,,,4,8,4029,2021-05-09 22:52:02,2022-03-25 23:34:49,1,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/fzamJsz47h","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PSeltim,Akurat terpercaya,,121,222,3599,2020-03-31 05:23:48,2022-03-25 23:28:57,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/wwolZcJGVW","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PSeltim,Akurat terpercaya,,121,222,3599,2020-03-31 05:23:48,2022-03-25 23:26:54,0,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/oKaWZi0JDO","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
tabanan_polres,,,434,558,21057,2018-02-14 00:31:37,2022-03-25 23:16:17,2,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/jfz2iE2I2a","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
tabanan_polres,,,434,558,21057,2018-02-14 00:31:37,2022-03-25 23:07:49,2,"Akselerasi vaksinasi nasional, Polres Tabanan Gelar Vaksinasi Booster di Balai Banjar Malmundeh, desa Pandakbandung, Kediri, Tabanan. #vaksinbooster #vaksìncovid19 #vaksìnasicovid19 #vaksinserentak #vaksìnuntukindonesia #bersatulawancovid19 #polrestabanan https://t.co/Iwdf5Py1HM","[{'text': 'vaksinbooster', 'indices': [134, 148]}, {'text': 'vaksìncovid19', 'indices': [149, 163]}, {'text': 'vaksìnasicovid19', 'indices': [164, 181]}, {'text': 'vaksinserentak', 'indices': [182, 197]}, {'text': 'vaksìnuntukindonesia', 'indices': [198, 219]}, {'text': 'bersatulawancovid19', 'indices': [220, 240]}, {'text': 'polrestabanan', 'indices': [241, 255]}]"
restamojokerto,tetap semangat,,24,122,4508,2020-03-29 03:10:32,2022-03-25 22:50:03,0,"Cegah Omicron, Pamor Keris Mojokota dengan Bagi Masker

#PamorKeris
#BagiMasker
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#Kodim0815Mojokerto
#Dinkes
#SatpolPPKotaMojokerto
#DishubKotaMojokerto https://t.co/W4H9nMIYAI","[{'text': 'PamorKeris', 'indices': [56, 67]}, {'text': 'BagiMasker', 'indices': [68, 79]}, {'text': 'PolresMojokertoKota', 'indices': [80, 100]}, {'text': 'Prokes', 'indices': [101, 108]}, {'text': 'LawanCovid19', 'indices': [109, 122]}, {'text': 'Vaksin', 'indices': [123, 130]}, {'text': 'PolriPresisi', 'indices': [131, 144]}, {'text': 'Kodim0815Mojokerto', 'indices': [145, 164]}, {'text': 'Dinkes', 'indices': [165, 172]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [173, 195]}, {'text': 'DishubKotaMojokerto', 'indices': [196, 216]}]"
IntannKamila,Hiburan Berita Media,"Banda Raya, Indonesia",98,60,1560,2017-10-29 13:42:34,2022-03-25 17:37:09,0,Was Badan Intelijen Negara melakukan vaksinasi gratis untuk masyarakat di Aceh Utara #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/24Bx40igV9,"[{'text': 'vaksin', 'indices': [85, 92]}, {'text': 'ayovaksin', 'indices': [93, 103]}, {'text': 'vaksinaman', 'indices': [104, 115]}, {'text': 'vaksinhalal', 'indices': [116, 128]}]"
IntannKamila,Hiburan Berita Media,"Banda Raya, Indonesia",98,60,1560,2017-10-29 13:42:34,2022-03-25 17:36:43,0,Para vaksinator Aceh Utara siap melayani masyarakat #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/uC3rbGGmTW,"[{'text': 'vaksin', 'indices': [52, 59]}, {'text': 'ayovaksin', 'indices': [60, 70]}, {'text': 'vaksinaman', 'indices': [71, 82]}, {'text': 'vaksinhalal', 'indices': [83, 95]}]"
IntannKamila,Hiburan Berita Media,"Banda Raya, Indonesia",98,60,1560,2017-10-29 13:42:34,2022-03-25 17:36:41,0,Lokasi vaksinasi di Aceh Utara #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/Rqz203FkTu,"[{'text': 'vaksin', 'indices': [31, 38]}, {'text': 'ayovaksin', 'indices': [39, 49]}, {'text': 'vaksinaman', 'indices': [50, 61]}, {'text': 'vaksinhalal', 'indices': [62, 74]}]"
IntannKamila,Hiburan Berita Media,"Banda Raya, Indonesia",98,60,1560,2017-10-29 13:42:34,2022-03-25 17:36:39,0,Ayo kita vaksin #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/PkN4LjtTI3,"[{'text': 'vaksin', 'indices': [16, 23]}, {'text': 'ayovaksin', 'indices': [24, 34]}, {'text': 'vaksinaman', 'indices': [35, 46]}, {'text': 'vaksinhalal', 'indices': [47, 59]}]"
gaga_ros,,"Banda Raya, Indonesia",4,26,1418,2021-02-07 05:25:03,2022-03-25 17:35:37,0,"Proses skrining vaksinasi di Aceh Utara 
#vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/eCK022GS2N","[{'text': 'vaksin', 'indices': [41, 48]}, {'text': 'ayovaksin', 'indices': [49, 59]}, {'text': 'vaksinaman', 'indices': [60, 71]}, {'text': 'vaksinhalal', 'indices': [72, 84]}]"
gaga_ros,,"Banda Raya, Indonesia",4,26,1418,2021-02-07 05:25:03,2022-03-25 17:35:36,0,Antusias Lansia until melaksanakan vaksinasi di Aceh Utara #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/ZyIphB36GN,"[{'text': 'vaksin', 'indices': [59, 66]}, {'text': 'ayovaksin', 'indices': [67, 77]}, {'text': 'vaksinaman', 'indices': [78, 89]}, {'text': 'vaksinhalal', 'indices': [90, 102]}]"
gaga_ros,,"Banda Raya, Indonesia",4,26,1418,2021-02-07 05:25:03,2022-03-25 17:34:23,0,Vaksinasi anak di Aceh Timur berjalan lancar #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/WgFcxHpR13,"[{'text': 'vaksin', 'indices': [45, 52]}, {'text': 'ayovaksin', 'indices': [53, 63]}, {'text': 'vaksinaman', 'indices': [64, 75]}, {'text': 'vaksinhalal', 'indices': [76, 88]}]"
AliiManaf,,,8,1,488,2021-02-02 12:31:57,2022-03-25 17:34:07,0,Vaksinasi anak sangat bagus untuk imun mereka #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/IWTPmI9TFu,"[{'text': 'vaksin', 'indices': [46, 53]}, {'text': 'ayovaksin', 'indices': [54, 64]}, {'text': 'vaksinaman', 'indices': [65, 76]}, {'text': 'vaksinhalal', 'indices': [77, 89]}]"
AliiManaf,,,8,1,488,2021-02-02 12:31:57,2022-03-25 17:34:05,0,Vaksinasi anak yang dilakukan di Aceh Timur #vaksin #ayovaksin #vaksinaman #vaksinhalal https://t.co/194N4FuZwB,"[{'text': 'vaksin', 'indices': [44, 51]}, {'text': 'ayovaksin', 'indices': [52, 62]}, {'text': 'vaksinaman', 'indices': [63, 74]}, {'text': 'vaksinhalal', 'indices': [75, 87]}]"
radarmasnetwork,Official Account Berita Online Radar Banyumas Network,"Banyumas, Central Java",130,4639,64174,2015-06-15 09:09:19,2022-03-25 15:27:11,0,Vaksinasi Dipercepat Hingga H-1 Lebaran #Cilacap #Vaksin https://t.co/q3Tm1enzQ0,"[{'text': 'Cilacap', 'indices': [40, 48]}, {'text': 'Vaksin', 'indices': [49, 56]}]"
HCLWx,"meyakini Tuhan,
Meragukan Agama.

Telegram: Haaleehaa",YogYa,2218,478,29537,2011-08-26 16:26:22,2022-03-25 15:25:56,0,"Yak... Mulai menggigil sodara sodara

#Vaksin #pfizersideeffects","[{'text': 'Vaksin', 'indices': [38, 45]}, {'text': 'pfizersideeffects', 'indices': [46, 64]}]"
griyabacaku,"Instagram : griyabacaku |
Facebook : Griya baca |
Tiktok : griyabaca",,951,127,908,2021-09-13 04:36:09,2022-03-25 14:53:14,0,"Jadi, pilih Vaksin Booster atau Tes Antigen, lur? 

#vaksin #Booster #antigen #pcr #hargaantigen #hargapcr #vaksinbooster #vaksinke3 #omicron #italy #pialadunia #infogresik https://t.co/CkMxYVXeLp","[{'text': 'vaksin', 'indices': [52, 59]}, {'text': 'Booster', 'indices': [60, 68]}, {'text': 'antigen', 'indices': [69, 77]}, {'text': 'pcr', 'indices': [78, 82]}, {'text': 'hargaantigen', 'indices': [83, 96]}, {'text': 'hargapcr', 'indices': [97, 106]}, {'text': 'vaksinbooster', 'indices': [107, 121]}, {'text': 'vaksinke3', 'indices': [122, 132]}, {'text': 'omicron', 'indices': [133, 141]}, {'text': 'italy', 'indices': [142, 148]}, {'text': 'pialadunia', 'indices': [149, 160]}, {'text': 'infogresik', 'indices': [161, 172]}]"
Yono43370361,Kami Selalu Ada Buat Masyarakat,"Jetis, Indonesia",72,56,6011,2020-04-12 01:25:40,2022-03-25 14:46:00,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto https://t.co/VwRJqCq9Xc","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}]"
radarmasnetwork,Official Account Berita Online Radar Banyumas Network,"Banyumas, Central Java",130,4639,64174,2015-06-15 09:09:19,2022-03-25 14:10:01,0,"Puasa, Dinkes Banyumas Siapkan Vaksinasi Malam #Purwokerto #Ramadan #Vaksin https://t.co/BResBQmURt","[{'text': 'Purwokerto', 'indices': [47, 58]}, {'text': 'Ramadan', 'indices': [59, 67]}, {'text': 'Vaksin', 'indices': [68, 75]}]"
Polsekkemlagi2,Salam Presisi,,16,20,1930,2020-10-04 11:28:50,2022-03-25 14:02:37,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto https://t.co/HBTxiyv5Bc","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}]"
